arrival_time,origin,destination
53502.2559885,1,2
53717.3983074,G,2
53927.0798092,1,2
53595.5437714,G,2
53720.9732981,1,2
53458.0353145,G,2
53825.4151932,G,2
52957.5023598,G,2
53938.146895,G,2
53687.229664,G,2
53619.4163153,1,2
53626.0684847,G,2
53683.4409898,1,2
53141.9855098,1,2
53911.36123,G,2
53678.0299811,G,2
53849.6654586,1,2
53951.8965188,1,2
58526.147994,2,G
58520.6920255,2,G
58500.2708496,2,G
58500.4297293,2,G
58500.0564337,2,1
58515.1462665,2,G
58551.9767191,2,G
58701.3965646,2,1
58507.1324955,2,1
58500.4698395,2,G
58603.1852764,2,1
58506.0099829,2,G
58534.2985965,2,G
58542.7877736,2,G
58594.1002053,2,1
58540.7125661,2,1
58500.1053179,2,1
58546.2554538,2,G
32242.5981058,G,3
32331.8811804,G,3
32100.9738938,1,3
32340.6419554,G,3
32355.4937471,1,3
32058.4165993,G,3
32195.5751589,G,3
32118.2094451,1,3
32057.8742626,G,3
32219.2004723,1,3
32206.5145544,1,3
32178.2874554,G,3
32368.6382713,1,3
31999.9535952,G,3
32239.3105684,G,3
31844.0722165,G,3
32330.7252886,1,3
31987.8232635,G,3
31980.8704323,G,3
32371.6315463,G,3
32163.4323527,1,3
32141.142839,G,3
32210.8570992,G,3
32327.9450639,G,3
31965.3202186,G,3
32213.4606505,1,3
32196.3749164,G,3
32035.6198864,G,3
32306.6654403,1,3
32115.169104,G,3
31816.1180598,G,3
32158.0666525,G,3
31739.6518738,G,3
32270.7869921,G,3
32275.4331358,G,3
32353.8612501,G,3
31894.4995792,1,3
32210.934042,1,3
31957.1914976,G,3
31805.7694488,G,3
32204.4407936,1,3
32215.0904673,G,3
31980.0720781,G,3
36901.3243472,3,G
36913.2773788,3,1
36900.0010546,3,G
37204.8104688,3,G
37154.1704196,3,G
36900.5946369,3,G
36907.3746498,3,G
36950.187252,3,1
36900.0323868,3,G
36993.7949569,3,1
36901.467497,3,1
36900.1439277,3,1
37073.3520736,3,G
36900.0109795,3,G
36907.6048087,3,G
36924.9276996,3,G
36930.5236109,3,1
36972.710583,3,G
37002.3917152,3,G
37364.6780617,3,1
37073.9045122,3,G
36909.4212083,3,G
37009.859681,3,G
36904.5700574,3,1
36902.0387193,3,1
37152.8174333,3,G
37067.9661239,3,G
36900.004351,3,G
36904.7425672,3,G
37183.6425799,3,1
36900.0032861,3,G
36931.3664558,3,1
36901.2114113,3,G
36903.2924283,3,1
37135.3036227,3,G
37220.723629,3,1
36903.3353855,3,G
36974.274591,3,G
37244.8712363,3,G
36909.5610602,3,1
36901.2762154,3,G
36901.0432259,3,G
36923.1544222,3,1
29977.4297818,G,3
30388.0156067,G,3
30296.5507096,G,3
30525.5297278,1,3
30168.5593588,G,3
30107.095172,G,3
30331.5033192,G,3
30013.0798096,G,3
30474.0945459,G,3
30426.4365031,G,3
30389.7985282,1,3
30490.0419651,1,3
30459.1346154,G,3
30076.1518978,1,3
30568.8876242,G,3
30469.3664193,1,3
30421.9645914,G,3
30063.7853493,G,3
29961.7352027,1,3
30437.2294895,G,3
30235.5186938,1,3
30424.0285289,1,3
30497.098834,G,3
30504.9909795,G,3
30352.5331369,1,3
30392.2816379,1,3
30064.6289848,G,3
30302.6860434,1,3
30268.1863306,1,3
30473.1520623,G,3
30476.2333912,G,3
30529.8333034,1,3
30375.1686554,G,3
30313.5021837,1,3
30295.4722271,1,3
30395.2465606,G,3
30243.6993934,G,3
30557.4230239,1,3
29829.9682044,G,3
30425.340067,1,3
30451.1258813,1,3
30372.7126927,1,3
30026.313778,G,3
30170.9390098,1,3
30354.4857805,1,3
35132.0950109,3,G
35109.7247,3,1
35112.4770762,3,G
35101.2903346,3,G
35100.6482474,3,G
35111.7257739,3,1
35328.8884295,3,G
35151.7917177,3,G
35169.0850934,3,G
35101.8752786,3,1
35123.8069999,3,G
35141.5427594,3,1
35155.872667,3,1
35102.828214,3,1
35206.2875039,3,G
35201.1624737,3,1
35261.8161051,3,1
35112.9451831,3,1
35123.1435959,3,G
35100.4376992,3,1
35138.6844622,3,G
35112.3879753,3,G
35400.4801862,3,1
35110.5070785,3,G
35111.6915729,3,G
35394.4854454,3,G
35123.4717353,3,G
35176.744419,3,1
35164.2158846,3,G
35106.8545713,3,G
35119.5688745,3,1
35148.4431735,3,1
35100.0927188,3,1
35100.0985742,3,G
35100.0104128,3,G
35108.7661656,3,G
35173.2009884,3,G
35110.0627272,3,G
35112.7867286,3,G
35109.5616006,3,1
35100.0641374,3,1
35134.3983024,3,G
35119.0640541,3,G
35100.2364971,3,1
35167.942251,3,1
66506.3387817,1,B
66494.3601715,G,B
66416.1628103,1,B
66441.0546049,G,B
66280.2805562,1,B
66361.5574657,G,B
66573.4063824,1,B
66193.5324424,G,B
66470.5525249,G,B
66259.8286458,1,B
66109.7982557,1,B
65694.6062631,G,B
66393.7390928,G,B
66432.0383622,G,B
66465.5065993,G,B
66375.2378196,G,B
66551.9363487,G,B
66256.221812,1,B
66419.3219999,G,B
66406.9099002,1,B
66288.193651,G,B
