arrival_time,origin,destination
60913.38364,G,2
60838.3254698,1,2
60603.1977229,G,2
61066.7879873,G,2
60963.7655754,1,2
60868.0476558,G,2
61002.7492582,G,2
60665.8074402,1,2
61121.9918031,G,2
61037.9419733,G,2
60972.0848787,G,2
60421.3823471,1,2
61119.8536566,G,2
61137.1041237,G,2
61073.8796592,G,2
60806.1692093,G,2
61022.3171624,1,2
61066.9732414,G,2
61121.5023177,1,2
61112.4646175,G,2
60957.0518524,G,2
60706.9501722,1,2
60965.0992242,G,2
64299.4561525,2,1
64218.5006658,2,1
64251.3135906,2,G
64203.6430357,2,G
64213.0656765,2,1
64229.6571528,2,G
64201.9966753,2,G
64257.4493234,2,G
64214.051781,2,1
64200.1414648,2,G
64279.638067,2,1
64324.9832001,2,G
64346.2099217,2,G
64242.1389868,2,1
64205.8840147,2,1
64209.6496422,2,1
64229.1705223,2,1
64267.2769203,2,1
64295.5067527,2,1
64234.4049359,2,G
64220.4003747,2,G
64202.8214684,2,1
64251.7496998,2,1
59360.7417807,1,3
59116.5594158,G,3
59323.3163784,G,3
59120.4066515,G,3
59139.0595368,G,3
59226.3681691,G,3
59181.3495298,1,3
58709.361688,G,3
59034.8948948,1,3
59251.3774367,G,3
59045.2813186,G,3
59198.6360463,G,3
59155.6974584,G,3
59296.3568356,G,3
59018.2998971,G,3
62133.5337993,3,G
62146.1593521,3,G
62200.792238,3,G
62101.6878245,3,G
62104.6552211,3,G
62116.7141465,3,G
62145.1960306,3,1
62102.4820921,3,G
62274.7378943,3,G
62103.4512036,3,G
62279.7748,3,1
62128.7860336,3,1
62100.0724946,3,1
62100.0521743,3,G
62176.5772548,3,G
53842.4418656,1,3
58502.9699301,3,1
35977.8772015,G,3
35723.087874,G,3
35844.1540348,G,3
35915.5124297,G,3
35924.221573,G,3
35809.2038601,1,3
35936.3871741,G,3
35984.0338265,1,3
35883.0550129,1,3
35950.8393428,G,3
35827.3718699,G,3
35886.6304293,G,3
35375.7731933,1,3
35865.6368133,G,3
35962.0899693,1,3
35626.0756432,G,3
35869.3089421,G,3
35649.2065194,G,3
35612.1786506,1,3
35833.482123,G,3
35773.716759,G,3
35697.6742199,1,3
35777.4104572,G,3
35951.1980965,G,3
35957.7050874,G,3
35922.0343607,G,3
35961.2691207,1,3
35961.0863435,1,3
35665.5325606,G,3
35946.8769717,G,3
35940.7413559,1,3
35889.1068826,G,3
35860.9977379,G,3
35900.1794473,1,3
35907.3565733,G,3
35638.8523385,1,3
35851.3243734,G,3
35782.862376,G,3
35933.8167761,1,3
35393.0588888,G,3
35712.419482,1,3
35738.3674162,1,3
35546.810224,1,3
35884.6281836,1,3
35708.7532453,1,3
40500.1501364,3,1
40517.2367444,3,1
40500.0201705,3,G
40684.4772992,3,G
40646.7995704,3,G
40528.4492445,3,G
40559.1871925,3,1
40871.1842965,3,G
40636.6707348,3,G
40505.7099533,3,1
40554.6943985,3,G
40501.0124902,3,G
40516.4519114,3,G
40609.9780256,3,G
40577.7728691,3,G
40518.4075008,3,1
40661.0452293,3,1
40507.520048,3,G
40507.835356,3,G
40500.2291336,3,G
40501.6173777,3,G
40519.0188486,3,1
40500.3120032,3,G
40508.0193254,3,1
40500.8489392,3,G
40543.8747313,3,G
40500.0016987,3,1
40503.0012751,3,G
40501.8950942,3,1
40538.2895831,3,G
40616.2792836,3,1
40500.4647685,3,1
