arrival_time,origin,destination
57516.2770553,1,3
57122.5056311,1,3
57054.9605282,1,3
57545.1242355,G,3
57274.1019664,G,3
57554.3322476,G,3
57335.9057331,G,3
57044.7554356,G,3
57479.7528412,G,3
62115.7489252,3,1
62248.5229584,3,1
62117.0392781,3,1
62101.7237962,3,G
62191.1351499,3,G
62168.5723337,3,1
62309.628579,3,G
62114.6703344,3,1
62101.7781057,3,G
46293.8820112,1,3
46749.1915107,G,3
46769.675288,G,3
46599.399871,G,3
46244.1063136,1,3
46652.3781708,1,3
46599.9377449,1,3
46703.118007,G,3
46375.8459474,1,3
46657.1291438,G,3
46544.6996627,G,3
46648.6690031,G,3
46705.2040637,G,3
46657.4635114,G,3
46705.2745109,G,3
46440.9401308,G,3
46543.5481998,1,3
46428.7306033,1,3
46480.3283527,1,3
46687.3510392,1,3
46717.9919266,G,3
46654.0579635,G,3
46195.8049204,1,3
46288.1108557,G,3
46685.615681,1,3
46718.5426191,G,3
46646.9145186,G,3
46497.1425392,G,3
46765.6598155,G,3
46704.8144489,1,3
46677.9964365,1,3
46587.4901251,G,3
46677.7890503,G,3
46573.8096172,G,3
46004.4572603,G,3
46313.1415305,G,3
46692.9915873,G,3
46610.5333978,1,3
46633.8621943,1,3
46378.5624169,1,3
46592.9512982,1,3
46706.9358736,1,3
46730.0411274,1,3
46531.6084718,1,3
46424.1575332,1,3
46656.0792738,G,3
46624.9886288,1,3
46431.406197,1,3
46643.1306516,1,3
46300.4197763,1,3
46625.1130809,G,3
46757.1582312,G,3
46456.9905485,1,3
46675.3555093,G,3
46671.7671489,1,3
46383.6329526,G,3
46699.4429497,1,3
46647.3411194,G,3
46717.8896508,1,3
46471.0309335,1,3
46558.6635429,G,3
46664.7617977,G,3
46378.3948718,1,3
46541.4753795,G,3
46466.02167,G,3
46567.4417245,G,3
46778.5059601,1,3
46551.7207891,G,3
46676.1886613,G,3
46385.6279656,G,3
46590.0290276,1,3
46604.7701934,G,3
46668.9925921,G,3
46269.0180359,1,3
46203.1703047,1,3
46438.8850765,1,3
46561.1028464,G,3
46189.7160057,G,3
46478.2192216,1,3
46699.2766066,1,3
55581.590873,3,1
55540.5501179,3,G
55587.034944,3,1
55501.3582716,3,1
55513.4924583,3,1
55506.3509749,3,G
55514.2136697,3,G
55786.9187784,3,1
55522.1088868,3,G
55507.0502081,3,G
55502.7698809,3,G
55852.9248156,3,G
55509.4904854,3,G
55500.9608985,3,1
55512.4775797,3,1
55509.0125977,3,1
55682.3807576,3,G
55587.8550552,3,1
55531.9384263,3,G
55565.701662,3,1
55500.3791807,3,1
55518.0064239,3,G
55763.0990282,3,1
55533.6726474,3,1
55503.2537032,3,G
55559.4377265,3,G
55518.4289004,3,1
55780.0426087,3,1
55543.4219352,3,1
55514.2756539,3,1
55668.4881188,3,1
55503.914817,3,1
55565.3204983,3,G
55564.0937742,3,1
55644.8463264,3,G
55531.8447713,3,G
55761.0849115,3,1
55591.32737,3,1
55502.8061078,3,G
55725.9575053,3,1
55514.5377824,3,1
55506.0967398,3,G
55797.4480449,3,G
55874.5049731,3,G
55514.3248946,3,1
55504.8628375,3,G
55500.0976636,3,1
55617.3129452,3,1
55515.3272709,3,1
55504.0255354,3,G
55500.2889589,3,G
55507.512826,3,1
55534.581255,3,1
55539.4736619,3,1
55561.7839964,3,1
55583.3817813,3,1
55537.6679289,3,G
55514.4665673,3,1
55642.7211793,3,G
55504.4209021,3,G
55511.9535601,3,G
55518.4400164,3,1
55561.187834,3,G
55645.425457,3,1
55509.092681,3,G
55501.6193859,3,1
55611.9827558,3,G
55512.0122838,3,1
55509.1782596,3,G
55500.4646636,3,G
55503.8107273,3,G
55550.7189934,3,1
55500.0419015,3,1
55780.8847012,3,G
55513.3660613,3,G
55533.6965659,3,1
55500.6073128,3,G
55502.1803777,3,G
55501.2973896,3,1
55507.6031465,3,G
55539.7814406,G,3
55716.8570909,G,3
55706.8407103,G,3
54949.916832,G,3
55475.1140189,1,3
55744.9373936,G,3
55683.6449806,G,3
55400.2402533,G,3
55739.213654,G,3
55730.3543897,G,3
55672.408505,1,3
55654.7885287,1,3
55603.4200342,G,3
55517.5716224,G,3
55573.608954,G,3
55769.896699,G,3
55697.526492,G,3
55587.1294125,1,3
55601.2447984,1,3
55705.4831593,G,3
55615.5201694,G,3
54971.2889727,1,3
55697.4584207,G,3
55503.8479903,G,3
55784.0086198,1,3
55453.5156739,G,3
55713.1754478,G,3
55622.7764799,G,3
55549.3532285,G,3
55663.9707764,G,3
55690.0854167,G,3
55262.9563795,G,3
55605.7770715,1,3
55742.7352448,1,3
55637.5245717,G,3
55517.3033057,1,3
55640.6311773,G,3
55441.9526736,1,3
55697.5664454,G,3
55586.6124843,G,3
55665.7635745,1,3
55663.85989,G,3
55644.9471428,G,3
55564.4680389,G,3
55630.8217682,G,3
55659.1102877,G,3
55077.4382416,1,3
55632.683288,G,3
55512.8788743,G,3
55709.7682523,1,3
55718.9687985,1,3
55193.4955385,G,3
55117.427857,1,3
55581.2290651,1,3
55671.9132902,G,3
55707.1193576,G,3
55481.7267169,1,3
55523.0374213,G,3
55649.3293607,G,3
55394.5199669,G,3
55611.0644803,G,3
55165.5670279,1,3
55396.7052335,1,3
55557.42109,1,3
55563.1087607,1,3
55736.1298602,G,3
55451.118651,G,3
55705.6177696,1,3
55667.0317548,G,3
55689.7157133,G,3
55719.553524,1,3
55092.7840305,G,3
55709.6845588,G,3
55445.6186559,G,3
55570.4002905,G,3
55715.5189491,1,3
55147.918371,1,3
55714.4811011,G,3
55458.5294778,G,3
55487.7838765,1,3
57325.8210456,3,G
57312.3011136,3,G
57328.8735755,3,1
57524.7831338,3,G
57382.9751872,3,1
57308.0027893,3,G
57302.5482768,3,1
57417.598867,3,1
57300.6305885,3,1
57301.2284749,3,1
57508.5497202,3,G
57339.7853279,3,G
57365.253768,3,G
57309.8962455,3,G
57302.5598238,3,G
57302.1987332,3,1
57486.5819526,3,G
57331.4306627,3,1
57439.0026134,3,G
57331.7688451,3,G
57344.5472281,3,1
57300.3164081,3,G
57311.9279493,3,1
57321.9917011,3,G
57471.9345142,3,1
57319.1136722,3,1
57300.9469281,3,G
57324.2377381,3,1
57341.1076075,3,G
57302.2863389,3,1
57313.6209383,3,G
57386.0338326,3,G
57587.8955367,3,1
57302.987124,3,1
57412.1738354,3,G
57308.6646111,3,1
57370.2041533,3,G
57377.4482465,3,G
57329.5097805,3,G
57386.3496995,3,1
57305.9892526,3,G
57559.6601011,3,G
57322.7462839,3,G
57426.878429,3,1
57310.0658446,3,G
57394.3621998,3,G
57386.5531788,3,G
57302.7164594,3,1
57318.4864721,3,1
57337.0087263,3,1
57379.8432469,3,G
57334.7460932,3,1
57312.5522958,3,G
57300.2963727,3,G
57421.5140581,3,G
57312.38018,3,1
57348.332316,3,G
57593.1736666,3,G
57315.8468533,3,G
57307.5010897,3,1
57377.8694865,3,G
57319.9498944,3,1
57370.3171329,3,G
57447.4017635,3,1
57322.0395674,3,1
57308.783594,3,G
57303.4668521,3,G
57303.7670816,3,G
57306.111053,3,G
57404.3960817,3,G
57309.1429566,3,G
57345.4779253,3,G
57300.5772837,3,G
57373.3574081,3,G
57300.7145919,3,G
57303.2804825,3,G
57321.3098976,3,G
57392.5323471,3,1
57332.4631565,3,G
57301.9581969,3,1
35732.0000596,1,3
35921.7711153,G,3
35706.0031341,G,3
35900.9926936,G,3
35957.3537296,G,3
35804.7322922,G,3
35569.0875336,G,3
35986.7405576,1,3
35940.2407226,1,3
35866.1628085,1,3
35706.0413987,1,3
35965.7555265,G,3
35501.1378681,G,3
35858.4061193,G,3
35886.3307161,G,3
35737.8172219,1,3
35828.9612077,1,3
35862.6341907,1,3
35822.9139499,1,3
35829.6341002,G,3
35739.8574038,G,3
35913.7238343,G,3
35559.6111726,1,3
35802.3447198,G,3
35721.3657105,1,3
35806.4487368,G,3
35730.1053826,G,3
35931.3018918,1,3
35750.5715914,G,3
35848.7646162,1,3
35956.5797961,1,3
35781.5299288,1,3
35927.239464,G,3
35987.665238,G,3
35750.4966587,G,3
35843.1509551,1,3
35897.0309821,G,3
35491.7774026,1,3
35879.2296157,G,3
35845.4567033,G,3
35801.4022707,1,3
35702.8612521,1,3
35638.8624857,G,3
35831.7762309,1,3
35508.3003878,G,3
40667.7715496,3,G
40637.5079879,3,1
40650.3462721,3,G
40500.0946194,3,G
40500.2975446,3,G
40502.6535113,3,1
40584.8514443,3,1
40671.5251866,3,1
40523.8968296,3,G
40728.7747567,3,G
40527.5346276,3,G
40637.4007539,3,G
40689.7871888,3,1
40556.8906444,3,G
40571.7931251,3,G
40730.2856553,3,1
40680.6047572,3,G
40592.7964421,3,G
40540.0109524,3,G
40597.3404118,3,1
40500.8062718,3,G
40707.1924008,3,1
40641.2488991,3,G
40530.744242,3,G
40522.0341738,3,G
40507.8591529,3,G
40513.2746497,3,G
40544.9641513,3,G
40525.5462952,3,G
40664.1684668,3,1
40588.4519608,3,1
40501.0676052,3,G
40511.9513054,3,G
40504.7495614,3,G
40615.083437,3,G
40570.1533456,3,G
40516.3132507,3,G
40501.684056,3,1
40536.3227255,3,G
40501.1765196,3,1
40877.5274869,3,G
40550.2348224,3,1
40707.1201152,3,1
40512.2263856,3,1
40503.7208611,3,G
46644.8874516,1,3
46774.8455004,G,3
46390.2791452,G,3
46513.0989501,G,3
46573.9973001,G,3
46482.0715926,1,3
46618.6193892,G,3
46667.4605857,1,3
46542.4557338,G,3
46759.3043185,G,3
46655.0472414,1,3
46618.3185854,1,3
46753.9850842,G,3
46728.1859176,G,3
46279.5558821,1,3
46518.3069981,1,3
46629.6022414,G,3
46746.5169447,G,3
46115.6900483,1,3
46728.2129383,1,3
46401.0238094,G,3
46457.7562904,G,3
46449.7066679,1,3
46249.6860246,1,3
46547.3972192,1,3
46736.5136542,G,3
46218.1563507,G,3
46485.0102594,1,3
46612.1190414,1,3
46472.2388604,1,3
46394.925213,G,3
46546.2465108,G,3
46754.6485253,1,3
46711.2504849,G,3
46640.6325419,G,3
46361.3628717,G,3
46640.134375,1,3
46644.4101532,G,3
46542.3666657,G,3
46564.2629034,G,3
46702.3674308,1,3
46465.6431551,G,3
46415.7430718,1,3
49826.5740417,3,G
49801.8445141,3,G
49825.7820175,3,G
49870.6056507,3,1
49894.6478888,3,G
50291.9336486,3,1
