arrival_time,origin,destination
31776.0277971,G,3
32202.2366163,G,3
32303.4837265,1,3
32202.4890392,G,3
32042.8010994,G,3
32166.8103224,G,3
32117.0400412,1,3
32300.5997207,1,3
32288.9379033,G,3
32268.7262909,G,3
32235.0687114,1,3
32088.85093,G,3
32155.9898633,G,3
32276.2638888,1,3
32307.6095665,1,3
32286.6631762,1,3
31934.0335594,G,3
32292.18491,1,3
32002.8743874,1,3
32156.1158164,G,3
31689.3355656,G,3
32099.1011198,G,3
32195.0451997,1,3
32222.752939,1,3
32023.1379287,1,3
32261.0959582,G,3
31913.4459241,G,3
32325.2318024,G,3
32361.8772772,G,3
32100.4255158,1,3
32299.2251728,G,3
32142.5973016,G,3
32263.4005768,G,3
32163.488185,G,3
32355.6001686,G,3
31848.4453778,G,3
32113.9622358,G,3
32329.4537224,G,3
32067.1477725,1,3
32030.8937547,1,3
32106.6881155,G,3
32256.4673803,1,3
32266.2490888,G,3
36906.2317672,3,G
36906.1384194,3,G
37142.939922,3,1
36900.1186704,3,1
36911.6175864,3,G
36908.4760851,3,1
36999.2251731,3,G
36900.9462084,3,G
37208.3751052,3,1
36902.1792431,3,1
37162.6427699,3,G
36958.3679355,3,G
36972.1845318,3,1
36903.0978587,3,G
36922.6275697,3,G
36926.6470698,3,1
36901.5756171,3,G
36906.027959,3,G
36914.4224454,3,G
36909.4357597,3,1
36935.5360561,3,G
36995.0769455,3,1
36900.4843663,3,G
36901.999656,3,G
36900.0302009,3,1
36993.8691695,3,G
36916.332746,3,G
37038.6062345,3,1
36947.1863732,3,G
36914.0828839,3,G
36977.5171491,3,G
36908.4083114,3,G
36916.9338471,3,1
36915.6739366,3,1
36906.2568773,3,G
36901.5539756,3,G
37009.483213,3,G
36906.144778,3,G
36900.9744936,3,1
36973.5678581,3,1
36907.5507936,3,G
36904.1844871,3,G
36969.8572448,3,1
30329.2780058,G,3
30452.8256231,G,3
30408.0587693,G,3
30162.2206651,G,3
30392.8802988,G,3
30234.6171095,1,3
30478.6656044,1,3
30516.444419,G,3
29954.77495,1,3
30516.8339637,G,3
30485.3533588,1,3
30018.1059324,1,3
29979.0279843,G,3
30339.2587938,1,3
30272.5501458,G,3
30447.6277522,G,3
30193.3517825,G,3
30438.0218872,1,3
30310.6558823,1,3
30151.087534,G,3
30304.4648697,G,3
30388.879326,1,3
30574.4868058,G,3
29966.6489514,1,3
30458.9118239,1,3
29999.4616184,1,3
30302.2265388,G,3
30249.6362462,G,3
