Subject Description,Catalog Number,Class Number,Class Title,Class Section Number,Course Component Description,Academic Term Description,Class Academic Group Description,Meeting Start Time,Meeting End Time,Days,Building Code,Room,Enrollment Total
Anthropology,0680,10743,INTRO PHYSICAL ANTHROPOLOGY,1060,Lecture,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,11:00 AM,11:50 AM,Tu Th             ,BENDM,00157,199
Anthropology,0680,19302,INTRO PHYSICAL ANTHROPOLOGY,1120,Recitation,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,12:00 PM,12:50 PM,Th                ,BENDM,00G26,24
Arts and Sciences,0120,26317,FIRST EXPERIENCES IN RESEARCH,1160,Credit Laboratory,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,03:00 PM,03:50 PM,W                 ,BENDM,00G26,25
Arts and Sciences,0120,26319,FIRST EXPERIENCES IN RESEARCH,1170,Credit Laboratory,Spring Term 2016-2017,Dietrich Sch Arts and Sciences,05:00 PM,05:50 PM,Th                ,BENDM,00227,23
Bioengineering,0050,23477,WORKSHOP IN BIOENG DESIGN,1160,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,05:15 PM,Tu                ,BENDM,00319,9
Bioengineering,0051,31362,WORKSHOP IN MEDICAL DEVICES,1095,Lecture,Spring Term 2016-2017,Swanson School of Engineering,04:30 PM,05:15 PM,Th                ,BENDM,00319,15
Bioengineering,0052,26343,WORKSHOP IN OPENSIM,1010,Seminar,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,Th                ,BENDM,00318,1
Bioengineering,1002,13300,INTRAMURAL INTERNSHIP,1060,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M F               ,BENDM,00G26,19
Bioengineering,1002,20001,INTRAMURAL INTERNSHIP,1070,Directed Studies,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,04:15 PM,M F               ,BENDM,00227,18
Bioengineering,1050,30858,ARTIFICIAL ORGANS,1045,Lecture,Spring Term 2016-2017,Swanson School of Engineering,10:30 AM,11:45 AM,Tu Th             ,BENDM,00G24,22
Bioengineering,1071,13579,INTRODUCTION TO CELL BIOLOGY 2,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,11:50 AM,M W F             ,BENDM,00157,75
Bioengineering,1071,13580,INTRODUCTION TO CELL BIOLOGY 2,1040,Recitation,Spring Term 2016-2017,Swanson School of Engineering,09:00 AM,09:50 AM,Tu                ,BENDM,00G27,11
Bioengineering,1071,13615,INTRODUCTION TO CELL BIOLOGY 2,1050,Recitation,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,Tu                ,BENDM,00G29,18
Bioengineering,1071,19532,INTRODUCTION TO CELL BIOLOGY 2,1030,Recitation,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,08:50 AM,Tu                ,BENDM,00G27,16
Bioengineering,1071,23183,INTRODUCTION TO CELL BIOLOGY 2,1060,Recitation,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,04:50 PM,Tu                ,BENDM,00G27,20
Bioengineering,1072,23182,HONORS INTROD TO CELL BIOL 2,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,F                 ,BENDM,00157,13
Bioengineering,1072,23182,HONORS INTROD TO CELL BIOL 2,1020,Lecture,Spring Term 2016-2017,Swanson School of Engineering,11:00 AM,11:50 AM,M W F             ,BENDM,00G26,13
Bioengineering,1072,23185,HONORS INTROD TO CELL BIOL 2,1030,Recitation,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,08:50 AM,Tu                ,BENDM,00157,1
Bioengineering,1072,23187,HONORS INTROD TO CELL BIOL 2,1050,Recitation,Spring Term 2016-2017,Swanson School of Engineering,12:00 PM,12:50 PM,Tu                ,BENDM,00157,4
Bioengineering,1072,23188,HONORS INTROD TO CELL BIOL 2,1060,Recitation,Spring Term 2016-2017,Swanson School of Engineering,04:00 PM,04:50 PM,Tu                ,BENDM,00157,3
Bioengineering,1085,13228,INTRO TO BIOENGNRNG: SEMINAR,1070,Seminar,Spring Term 2016-2017,Swanson School of Engineering,02:00 PM,02:50 PM,M                 ,BENDM,00157,248
Bioengineering,1150,13302,BIOENG METHODS & APPLICATIONS,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,08:00 AM,09:15 AM,F                 ,BENDM,00320,68
Bioengineering,1150,13303,BIOENG METHODS & APPLICATIONS,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,03:00 PM,05:50 PM,W                 ,BENDM,00G31,68
Bioengineering,1161,13311,BIOENGINEERING DESIGN 2,1030,Lecture,Spring Term 2016-2017,Swanson School of Engineering,01:00 PM,03:25 PM,Tu                ,BENDM,00320,80
Bioengineering,1161,13463,BIOENGINEERING DESIGN 2,1040,Laboratory,Spring Term 2016-2017,Swanson School of Engineering,03:30 PM,03:55 PM,Tu                ,BENDM,00320,80
